Bulan;PT;Kebun;Afdeling;Kode Afd;Luas;Pokok;Jjg Akt.;Kg Akt.;Jjg Sns.;Kg Sns.;BJR Akt.;BJR Sns.;Ton/ha Akt.;Ton/ha Sns.;% Cap.;Gap Ton/Ha;Gap %
JUN;BKB;Setarap;Setarap;AFD-8;388,2;51154;0;0;86920;1324322;#DIV/0!;15,24;0;3,41;0;-3,41;100
JUN;BKB;SC Plasma;SC Plasma;AFD-7;196,3;26164;0;0;40829;634806;#DIV/0!;15,55;0;3,23;0;-3,23;100
JUN;BKB;BKB Plasma;SK1;SK1;187,5;24615;0;0;10127;146060;#DIV/0!;14,42;0;0,78;0;-0,78;100
JUN;BKB;BKB Plasma;SK2;SK2;158;20822;0;0;9754;177412;#DIV/0!;18,19;0;1,12;0;-1,12;100
JUN;BKB;BKB Plasma;SKA;SKA;233;30330;0;0;16002;281183;#DIV/0!;17,57;0;1,21;0;-1,21;100
JUN;BKB;BKB Plasma;SKB;SKB;321;43821;0;0;36589;523581;#DIV/0!;14,31;0;1,63;0;-1,63;100
JUN;BKB;BKB Plasma;SKC;SKC;55;7285;0;0;2971;52004;#DIV/0!;17,51;0;0,95;0;-0,95;100
JUN;BKB;BKB Plasma;SBB;SBB;1158,5;156587;0;0;47118;686348;#DIV/0!;14,57;0;0,59;0;-0,59;100
JUN;BKB;BKB Plasma;SMM;SMM;982,75;130420;0;0;45327;561602;#DIV/0!;12,39;0;0,57;0;-0,57;100
JUN;BKB;BKB Plasma;TGS;TGS;416;54374;0;0;20887;243668;#DIV/0!;11,67;0;0,59;0;-0,59;100
JUN;BKB;BKB Plasma;WRJ;WRJ;1051,4;140849;0;0;46874;560422;#DIV/0!;11,96;0;0,53;0;-0,53;100
JUN;BKB;BKB Plasma 1;MTL;MTL;799,68;106447;0;0;38143;689968;#DIV/0!;18,09;0;0,86;0;-0,86;100
JUN;BKB;BKB Plasma 1;SBU;SBU;29,1;4020;0;0;914;14661;#DIV/0!;16,04;0;0,5;0;-0,5;100
JUN;BKB;BKB Plasma 1;TNB;TNB;111,43;14327;0;0;6901;123184;#DIV/0!;17,85;0;1,11;0;-1,11;100
JUN;BKB;BKB Plasma 1;SBH;SBH;495,52;66248;0;0;25365;497119;#DIV/0!;19,6;0;1;0;-1;100
